category,title,section,content,step_order,image_files
sales,Win the Heart Gift Guide,Role Access,Junior Exec has no access yet. Senior Exec has the highest quota because they are the main sales engine. Team Lead has a limited quota because their role focuses more on leadership and smooth operations.,2,
sales,Win the Heart Gift Guide,Golden Rule,One customer can only receive one gift. Do not stack gifts or mix Gift A and Gift B for the same customer.,3,
sales,Win the Heart Gift Guide,Golden Rule,Free gifts apply only to regular-priced and non-discounted items. Do not use them on items already on sale or under promotion.,4,
sales,Win the Heart Gift Guide,Gift Offer,"For purchases above RM500 on Daily, Premium, and Infused items, customer can receive Free Juice with maximum 2 bottles. Promo code: KCHJUICE. Jungle Bee quota: 20 per month. King Bee quota: 5 per month.",5,
sales,Win the Heart Gift Guide,Gift Offer,"For purchases above RM500 on Daily, Premium, and Infused items, customer can receive Free Mini with maximum 2 jars. Promo code: FDS. Jungle Bee quota: 20 per month. King Bee quota: 5 per month.",6,
sales,Win the Heart Gift Guide,Recording Step,"After giving the gift, staff must immediately log it in the system, select 'Win Customer’s Heart' as the category, and ensure the details are accurate before submitting.",7,
sales,Win the Heart Gift Guide,Reference,Follow the full guide in Gift and Compensation System (Lark Tutorial) if further recording guidance is needed.,8,
sales,Promotion,6 April 2026 to 1 May 2026 - Daily Honey Extension,"Daily Honey promotion: buy any 2 bottles of Daily Honey for 10 percent off, or buy any 3 bottles and above for 15 percent off. Shopify code: N/A - Auto.",1,
sales,Promotion,6 April 2026 to 1 May 2026 - Daily Honey Extension,"Bundle promotion prices: Everyday Wellness Infusion RM530, Happy Tummy Infusion RM550, Beauty Sleep Infusion RM580, Bee Strong RM520, Honey Luxe 1 RM610, Honey Luxe 2 RM610, Hive Essentials RM650, Hive Elite RM1050, Hive Elite 2 RM1050, Hive Elite 3 RM1070, Premium Day and Day RM850, Premium Night and Night RM680, Premium Day and Night RM780. Shopify code: N/A - Auto.",2,
sales,Promotion,27 Feb 2026 to 5 April 2026 - Raya Campaign,"Raya Promo 1: buy any 2 bottles of Daily or Infused Honey for 10 percent off, or any 3 bottles and above for 15 percent off. Shopify code: N/A - Auto.",3,
sales,Promotion,27 Feb 2026 to 5 April 2026 - Raya Campaign,"Raya Promo 2 bundle prices follow the standard bundle list, including Everyday Wellness Infusion RM530, Happy Tummy Infusion RM550, Beauty Sleep Infusion RM580, Bee Strong RM520, Honey Luxe 1 RM610, Honey Luxe 2 RM610, Hive Essentials RM650, Hive Elite RM1050, Hive Elite 2 RM1050, Hive Elite 3 RM1070, Premium Day and Day RM850, Premium Night and Night RM680, and Premium Day and Night RM780. Shopify code: N/A - Auto.",4,
sales,Promotion,27 Feb 2026 to 5 April 2026 - Raya Campaign,Raya Promo 3: spend RM180 and above in a single receipt to get 1 pack of Raya Green Packet. Shopify code: N/A.,5,
sales,Promotion,27 Feb 2026 to 5 April 2026 - Raya Campaign,"Raya Promo 4 purchase with purchase: with any Jungle House product purchase, member can buy 1 Honey With Joy at RM40 or 1 Signature Honey Variety Pack at RM100. Limit one time purchase only per membership. Codes: RAYAHWJ and RAYASHVP. Promo 4 and Promo 5 can proceed in the same bill.",6,
sales,Promotion,27 Feb 2026 to 5 April 2026 - Raya Campaign,Raya Promo 5: Jungle Juice buy 1 and get the second at 50 percent off. Limit one time per day per member. Redemption is only from 8am to 6pm. Promotion period for this juice offer is 27 February 2026 until 19 March 2026. Code: RAYAJUICE.,7,
sales,Promotion,5 Jan 2026 to 26 Feb 2026 - CNY Campaign,CNY Promo 1: buy 3 Daily and get total bill 15 percent off plus CNY 3 Daily Box. Shopify code: N/A - Auto.,8,
sales,Promotion,5 Jan 2026 to 26 Feb 2026 - CNY Campaign,CNY Promo 2 bundle prices follow the standard bundle list. Shopify code: N/A - Auto.,9,
sales,Promotion,5 Jan 2026 to 26 Feb 2026 - CNY Campaign,CNY Promo 3: spend RM1000 and above in a single receipt to get 1 free Guardian Bee Plushie. Code: FBT.,10,
sales,Promotion,5 Jan 2026 to 26 Feb 2026 - CNY Campaign,"CNY Promo 4 Hamper prices are RM188, RM298, RM428, and RM588, with around 23 percent to 30 percent savings compared to retail price. Shopify code: N/A - Auto.",11,
sales,Promotion,3 Oct 2025 to 4 Jan 2026,"Promo 1 Double the Joy: buy Daily or Infuse Series, excluding Premium and Squeezy, and get the second bottle at 25 percent off for the equal or lower value item. Shopify code: N/A - Auto.",12,
sales,Promotion,3 Oct 2025 to 4 Jan 2026,Promo 2 bundle prices follow the standard bundle list. Shopify code: N/A - Auto.,13,
sales,Promotion,3 Oct 2025 to 4 Jan 2026,Promo 3: spend RM1000 and above in a single receipt to get 1 free Guardian Bee Plushie. Code: FBT.,14,
sales,Promotion,3 Oct 2025 to 4 Jan 2026,"Promo 4 Gift: Buy 5 Free 1 applies to Snowy Bubbles Series, Honey With Joy, Royale Beauty, Honey Sunshine with Soap, and Honey Sunshine with Tea. Buy 4 Free 1 applies to Signature Honey Variety Pack and Honey Discovery Premium Collection. The system deducts the lowest price, so it is better to suggest the customer choose the same products. Shopify code: N/A - Auto.",15,
sales,Promotion,22 Sep 2025 to 1st week October 2025 - Obsolete,"Obsolete bundle list: Bee Strong RM520, Honey Luxe RM610, Hive Essentials RM650, Hive Elite RM1050, Day and Day RM850, Night and Night RM680, and Day and Night RM780.",16,
sales,Promotion,25 Aug 2025 to 21 Sep 2025 - National Day Campaign,"Promo 1 Double the Joy: buy Daily or Infuse Series, excluding Premium and Squeezy, and get the second bottle at 25 percent off for the equal or lower value item.",17,
sales,Promotion,25 Aug 2025 to 21 Sep 2025 - National Day Campaign,"Promo 2 Spend and Get Reward: spend RM500 and above in a single receipt. Retail gets free 4 bottles of Jungle Juice assorted honey type, and online gets free HWJ.",18,
sales,Promotion,25 Aug 2025 to 21 Sep 2025 - National Day Campaign,"Bundle list includes Bee Strong, Honey Luxe, Hive Essentials, Hive Elite, Day and Day, Night and Night, and Day and Night. Focus message: Celebrate Merdeka – 2nd Bottle 25 percent off plus Free Jungle Juice.",19,
sales,Promotion,4 Aug 2025 to 24 Aug 2025,Honey Juice promotion: buy 3 free 1.,20,
sales,Promotion,4 Aug 2025 to 24 Aug 2025,"Total bill discount: spend above RM300 for 10 percent off, spend above RM500 for 15 percent off, and spend above RM1000 for 20 percent off.",21,
sales,Promotion,4 Aug 2025 to 24 Aug 2025,"Important notes: RM1000 spend can use the 20 percent discount like corporate sales buy 100 units. If customer buys 4 honey juices and reaches RM300, system may not detect buy 3 free 1 and may count it as 4 juice bottles plus product with 10 percent off. Save code hellobee10 and try to promote customer to buy RM300 to get 10 percent off. Member points converted to voucher do not affect the discount. If customer spends above RM500 and gets 15 percent off, the 4 bottle honey juices can be included and treated as buy 3 free 1. If Jungle Dazzle is included and price detects as RM230, deduct the percentage instead of using RM200 promotion price.",22,
sales,Promotion,19 May 2025 to 3 Aug 2025 - World Bee Day,"Gawai Special Set A Begulai Lantang at RM880.80, Set B Nyamut Gawea at RM456.45, and Set C Doras Isok at RM274.50, each with listed bundled items and discounted totals.",23,
sales,Promotion,19 May 2025 to 3 Aug 2025 - World Bee Day,"Honey Juice promotion: buy 3 free 1. Total bill discount: spend above RM300 for 10 percent off, above RM500 for 15 percent off, and above RM1000 for 20 percent off.",24,
sales,Promotion,19 May 2025 to 3 Aug 2025 - World Bee Day,Important notes follow the same spending and honey juice handling notes shown in the August 2025 promotion screenshots.,25,
sales,Promotion,21 Apr 2025 to 18 May 2025,Honey Juice promotion: buy 3 free 1.,26,
sales,Promotion,21 Apr 2025 to 18 May 2025,Raw Honey Parent’s Day promotion: Daily or Premium Royal Black and Daily or Premium Royal White buy the second item at 30 percent off.,27,
sales,Promotion,Feb 2025,General promotion: over RM500 free bee bottle and over RM100 free Raya packet.,28,
sales,Promotion,Feb 2025,Honey Juice promotion: buy 3 free 1.,29,
sales,Promotion,Feb 2025,Raw Honey promotion: new member first purchase gets 10 percent discount. Buy any 2 total bill gets 10 percent discount. Buy any 3 total bill gets 15 percent discount.,30,
sales,Promotion,Feb 2025,Premium Royal Black and Royal White promotion: buy combinations shown and get 1 free Daily under RM200. Gift items include SHVP RM99 and HDPC RM165.,31,
sales,Promotion,Jan 2025,Honey Juice promotion: buy 3 free 1.,32,
sales,Promotion,Jan 2025,Raw Honey promotion: buy 2 Daily and get 10 percent auto discount plus Double Happiness Box. Buy 3 Daily and get 15 percent auto discount plus Triple Abundance Box.,33,
sales,Promotion,Jan 2025,Day and Night offer: buy 1 Premium Royal Black plus Premium Royal White and get free Daily Honey below RM200. Day and Day: buy 2 Premium Royal Black and get free Daily Honey below RM200. Night and Night: buy 2 Premium Royal White and get free Daily Honey below RM200.,34,
sales,Promotion,Jan 2025,"Additional Jan 2025 promotion: sign up as a member to get a 10 percent Raw Honey discount voucher, buy SHVP and get second item at RM88 auto discount, CNY hamper promotion at RM188 and RM288, RM500 free soft toy, and RM200 free angpao packet.",35,
notice,Lab Report in Website - temporarily removed,Reason,The previous lab report on the Jungle House website has been temporarily removed.,1,
notice,Lab Report in Website - temporarily removed,Reason,"Jungle House is currently applying for HALAL, GMP, MeSTI, and HACCP certifications, and there will be an audit by the authorities this month.",2,
notice,Lab Report in Website - temporarily removed,Reason,"Updated lab test requirements were received during the preparation process, so the lab tests will be redone based on the latest requirements.",3,
notice,Lab Report in Website - temporarily removed,Customer Reply,"If customers ask why the lab report is no longer on the website, explain that it was temporarily removed for updating purposes.",4,
notice,Lab Report in Website - temporarily removed,Customer Reply,"Explain that Jungle House is currently preparing for HALAL, GMP, MeSTI, and HACCP certification audits.",5,
notice,Lab Report in Website - temporarily removed,Customer Reply,"Explain that new lab testing is being conducted based on the latest authority requirements, and the updated report will be uploaded once completed.",6,
product,Golden Passion Honey (New Product),Core Message,"Natural support for sleep, stress, and digestion.",1,
product,Golden Passion Honey (New Product),Key Benefits,Customer-friendly key benefits reference image for Golden Passion Honey.,2,product_images/golden_passion_honey/key_benefits_1.png
product,Golden Passion Honey (New Product),Functional Positioning,"Golden Passion Honey is a functional honey focused on sleep support, stress relief, and gut health.",3,
product,Golden Passion Honey (New Product),Key Selling Points,Golden Passion Honey contains GABA and melatonin-related properties to support sleep.,4,
product,Golden Passion Honey (New Product),Key Selling Points,Its flavonoids support relaxation.,5,
product,Golden Passion Honey (New Product),Key Selling Points,Its natural enzymes support digestion.,6,
product,Golden Passion Honey (New Product),Key Selling Points,Its polyphenols and Vitamin C support immunity.,7,
product,Golden Passion Honey (New Product),Target Customers,Sleep Issues: Helps you relax and sleep better naturally.,8,
product,Golden Passion Honey (New Product),Target Customers,Stress / Burnout: Helps your body stay calm and cope better.,9,
product,Golden Passion Honey (New Product),Target Customers,Students (Exams): Helps you stay calm and focused.,10,
product,Golden Passion Honey (New Product),Target Customers,Busy Parents: Helps you unwind after a long day.,11,
product,Golden Passion Honey (New Product),Target Customers,Digestive Issues: Supports your gut and reduces discomfort.,12,
product,Golden Passion Honey (New Product),Target Customers,Passion Fruit Lovers: Easy recommendation based on taste preference.,13,
product,Golden Passion Honey (New Product),Target Customers,Customers Asking for Recommendation: Default suggest Golden Passion.,14,
product,Golden Passion Honey (New Product),Product Overview,Product overview reference image for Golden Passion Honey.,15,product_images/golden_passion_honey/product_overview_1.png
product,Golden Passion Honey (New Product),Product Overview,Nectar Source: Passion Flower (Monofloral).,16,
product,Golden Passion Honey (New Product),Product Overview,"Origin: Garut, West Java, Indonesia.",17,
product,Golden Passion Honey (New Product),Product Overview,Type: Farm honey.,18,
product,Golden Passion Honey (New Product),Product Overview,Taste: Light floral with slight sourness.,19,
notice,How shifts arrangements are given,Overview,"This guide explains how shifts are assigned, why some staff get more shifts than others, and how SP (Shift Priority) affects scheduling.",1,
notice,How shifts arrangements are given,Shift Assignment Overview,"Shifts are assigned based on SP (Shift Priority), operational needs, and team balance.",2,
notice,How shifts arrangements are given,Shift Assignment Overview,"Each working day consists of one full shift up to 8 hours. Half Morning is 9:30 AM to 1:30 PM, Morning is 9:30 AM to 6:30 PM, Half Afternoon is 1:00 PM to 6:00 PM, Afternoon is 1:00 PM to 10:00 PM, and Evening is 6:00 PM to 10:00 PM.",3,
notice,How shifts arrangements are given,Shift Assignment Overview,Staff will not be scheduled from morning until night unless approved by the Team Lead for operational reasons.,4,
notice,How shifts arrangements are given,Shift Assignment Overview,"The lower your SP, the more likely you are to get desirable shifts and more work opportunities.",5,
notice,How shifts arrangements are given,Understanding SP,"A lower SP means higher priority status and first access to desirable shifts. A higher SP means lower priority status, fewer shifts, or less flexibility.",6,
notice,How shifts arrangements are given,The 4 Pillars of SP,"Operational Performance: staff who can handle both front-of-house and backend tasks become more versatile and more useful for different shifts, which helps lower SP.",7,
notice,How shifts arrangements are given,The 4 Pillars of SP,Commitment Volatility: frequent shift amendments or last-minute changes increase management cost and push SP higher.,8,
notice,How shifts arrangements are given,The 4 Pillars of SP,"Management and Training Cost: learning quickly, following instructions, and avoiding repeated mistakes helps keep SP lower.",9,
notice,How shifts arrangements are given,The 4 Pillars of SP,Team Lead Selection: being selected as a Team Lead shows reliability and capability and gives maximum priority for future shifts.,10,
notice,How shifts arrangements are given,Pro-Tip,Reliability plus versatility leads to the best shifts. Staff should aim to be the go-to person who can handle tasks without repeated guidance.,11,
notice,How shifts arrangements are given,How Shifts Are Assigned,"Draft Schedule: prepared based on SP, availability, and operational requirements. Staff may adjust availability before finalization.",12,
notice,How shifts arrangements are given,How Shifts Are Assigned,"Finalized Schedule: once locked, it must be followed. Changes after finalization require Team Lead approval through the Shift Amendment Form.",13,
notice,How shifts arrangements are given,How Shifts Are Assigned,Staff must check the availability sheets regularly. Sheet location: Wiki homepage to Time Availability Excel Sheets.,14,
notice,How shifts arrangements are given,Key Responsibilities,Be reliable and arrive for scheduled shifts on time.,15,
notice,How shifts arrangements are given,Key Responsibilities,Keep your availability updated.,16,
notice,How shifts arrangements are given,Key Responsibilities,Communicate issues early. Last-minute changes are discouraged.,17,
notice,How shifts arrangements are given,Key Responsibilities,Understand that operations come first and flexibility is essential.,18,
notice,How shifts arrangements are given,Key Responsibilities,Follow instructions carefully to minimize errors.,19,
notice,How shifts arrangements are given,SP Summary,"Your shifts reflect your performance, accountability, and contribution.",20,
notice,How shifts arrangements are given,SP Summary,"Strong performers get more opportunities, while poor performance reduces shifts and flexibility.",21,
notice,How shifts arrangements are given,SP Summary,"SP is dynamic and reviewed regularly, so consistent improvement matters.",22,
notice,Bee Point Policy – Crew Member Guideline,Core Principle,"The Bee Point system is for paid transactions only. No payment means no points, and payment means the transaction is eligible for points.",1,
notice,Bee Point Policy – Crew Member Guideline,Customer Mechanism,"Customers buy juice, return bottles, earn Bee Points, and redeem rewards. This creates a purchase, return, and reward loop.",2,
notice,Bee Point Policy – Crew Member Guideline,Crew Member Rules,Crew members cannot earn Bee Points when the drink was taken as a free staff entitlement or when the bottle comes from non-paid consumption.,3,
notice,Bee Point Policy – Crew Member Guideline,Crew Member Rules,"This rule prevents double dipping, where someone gets a free drink and also claims points from it.",4,
notice,Bee Point Policy – Crew Member Guideline,Allowed Strict Condition,"Crew members can earn Bee Points only if they personally paid for the drink, the transaction is recorded like a normal customer sale, and the returned bottle comes from that paid purchase.",5,
notice,Bee Point Policy – Crew Member Guideline,Allowed Strict Condition,"When those strict conditions are met, the crew member is treated as a customer, not staff.",6,
notice,Bee Point Policy – Crew Member Guideline,Crew Drink Entitlement,"Crew members are allowed a free drink based on company policy, for example 1 per day.",7,
notice,Bee Point Policy – Crew Member Guideline,Crew Drink Entitlement,Bottles from free drinks cannot be used for Bee Points.,8,
notice,Hari Raya Aidilfitri Public Holiday – Retail (2026),Overview,"Based on the government announcement dated 15 March 2026, the Hari Raya public holiday schedule varies depending on the official date of Hari Raya.",1,
notice,Hari Raya Aidilfitri Public Holiday – Retail (2026),Scenario 1,"If Hari Raya falls on Friday 20 March 2026, then 20 March 2026 is Hari Raya Day 1, 21 March 2026 is Hari Raya Day 2, 23 March 2026 is Additional Public Holiday plus Johor Sultan’s Birthday for Johor only, and 24 March 2026 is the replacement holiday for Johor only.",2,
notice,Hari Raya Aidilfitri Public Holiday – Retail (2026),Scenario 2,"If Hari Raya falls on Saturday 21 March 2026, then 20 March 2026 is Additional Public Holiday, 21 March 2026 is Hari Raya Day 1, 23 March 2026 is Johor Sultan’s Birthday for Johor only, and 24 March 2026 is the replacement holiday for Hari Raya Day 2 for Johor only.",3,
notice,Hari Raya Aidilfitri Public Holiday – Retail (2026),Key Notes,The 23 and 24 March holidays apply to Johor only. Retail staff must follow the final roster arrangement by management. The Additional Public Holiday depends on the confirmed actual Hari Raya date.,4,
notice,Hari Raya Aidilfitri – Dress Code,Policy,Staff are allowed to wear baju raya during Hari Raya Aidilfitri.,1,
notice,Hari Raya Aidilfitri – Dress Code,Policy,"Attire must remain neat, clean, professional, and suitable for customer-facing roles.",2,
notice,Hari Raya Aidilfitri – Dress Code,Guidelines,Avoid overly flashy or inappropriate outfits. Avoid clothing that restricts movement during work.,3,
notice,Hari Raya Aidilfitri – Dress Code,Guidelines,Ensure the outfit is comfortable for shift duties and does not affect service performance.,4,
notice,Hari Raya Aidilfitri – Dress Code,Responsibility,All staff must follow the dress guidelines.,5,
notice,Hari Raya Aidilfitri – Dress Code,Responsibility,Team Leader must ensure team members comply with professional standards.,6,
notice,Hari Raya Aidilfitri – Dress Code,Notes,Celebration should not affect service quality. Maintain Jungle House brand image at all times.,7,
notice,Kuching incentive data submission,Overview,"To keep the incentive system fair, transparent, and smooth for everyone, crew members must follow the submission guidelines carefully. Precision and honesty are essential.",1,
notice,Kuching incentive data submission,Overview,Crew members must refer to the final sales report PDF when filling in their incentive declaration. The 10PM sales update is only a snapshot and extra transactions may still happen after that time.,2,
notice,Kuching incentive data submission,Sample,Sample final sales report reference image for incentive declaration.,3,notice_images/kuching_incentive_data_submission/final_sales_report_sample_1.png
notice,Kuching incentive data submission,When to Submit,All incentive declarations must be completed within 24 hours. The clock starts at 10:00 PM on the day of the shift.,4,
notice,Kuching incentive data submission,When to Submit,"Late submissions are not allowed. After the 24-hour window, the system locks and the crew member can no longer fill in the data.",5,
notice,Kuching incentive data submission,Submission Guidelines,Submission is not required if the crew member did not have a shift that day or has no incentive points to declare.,6,
notice,Kuching incentive data submission,Submission Guidelines,All incentive data must be keyed in with extra care and full attention.,7,
notice,Kuching incentive data submission,Accuracy and Integrity,"No re-keying is allowed. If the wrong date or wrong details are entered, the incentive is forfeited for that day because the system does not allow corrections.",8,
notice,Kuching incentive data submission,Accuracy and Integrity,"Crew members should regularly double check their entries. If mistakes are discovered, Eno must be informed immediately.",9,
notice,Kuching incentive data submission,Accuracy and Integrity,"There is zero tolerance for cheating. Any attempt to manipulate the system results in losing the entire month’s incentive, and serious cases may lead to a formal warning or a police report.",10,
notice,Kuching incentive data submission,Accuracy and Integrity,Reliability matters. Repeated or careless errors may lead to losing your weekly incentive and raise concerns about your professionalism.,11,
notice,Kuching incentive data submission,Why This Matters,Accuracy is a reflection of your integrity. Attention to detail is how trust is built with each other.,12,
notice,Kuching incentive data submission,Why This Matters,Let’s make sure every point earned is truly deserved.,13,
notice,Kuching incentive data submission,Why This Matters,It’s awesome bee-ing with you!,14,
notice,PUBLIC HOLIDAY 2026,Overview,HR Notice and Memo Retail reference page for Public Holiday 2026.,1,
notice,PUBLIC HOLIDAY 2026,Reference Image,Public Holiday 2026 reference image page 1.,2,notice_images/public_holiday_2026/page_1.jpg
notice,PUBLIC HOLIDAY 2026,Reference Image,Public Holiday 2026 reference image page 2.,3,notice_images/public_holiday_2026/page_2.jpg
notice,PUBLIC HOLIDAY 2026,Related Question,Got double or triple pay ah ?,4,
notice,Do not open raw honey tester without permission.,Notice,A quick but important note regarding Raw Honey Testers.,1,
notice,Do not open raw honey tester without permission.,Authorization,Only the Manager and Backend Team Lead are authorized to open new raw honey testers.,2,
notice,Do not open raw honey tester without permission.,Instruction,"If a new tester is needed, staff must check with the Manager or Backend Team Lead first.",3,
notice,Do not open raw honey tester without permission.,Purpose,This rule helps the team manage inventory and product quality better.,4,
notice,Purple lavender out of stock,Stock Status,Purple Lavender is currently out of stock.,1,
notice,Purple lavender out of stock,Customer Handling,"To manage customer expectations smoothly, the samples for this item have been kept away until further notice.",2,
notice,Purple lavender out of stock,Recommendation,Please guide customers to try other sweet floral options in the meantime.,3,
notice,Free wooden stirrer,Current Update,"As of 2 January 2026, each Daily Honey purchase will get 1 wooden stirrer for free.",1,
notice,Free wooden stirrer,Obsolete Update,The older August 2025 notice saying there is no more free wooden stirrer is obsolete.,2,
notice,Free wooden stirrer,Related Question,Complimentary gift.,3,
notice,Mask and Badge,Amendment,Amendment of words in the picture: Get approval from Backend Team Leads before you take anything from this box.,1,
notice,Mask and Badge,Reference Image,Mask and Badge reference image.,2,notice_images/mask_and_badge/reference_1.jpg
notice,Proper way to stack HDPC,Correct Method,Stack up right.,1,notice_images/proper_way_to_stack_hdpc/stack_up_right.jpg
notice,Proper way to stack HDPC,Wrong Method,Do not stack flat.,2,notice_images/proper_way_to_stack_hdpc/stack_flat.jpg
notice,Proper way to stack HDPC,Reason,Stack flat will damage the box.,3,
notice,Price for new packaging for HWJ and SHVP,Price Update,No price change even with new packaging starting from 1 November 2025.,1,
notice,Price for new packaging for HWJ and SHVP,Selling Rule,"When new packaging arrives, old and new packaging may be sold concurrently.",2,
notice,Price for new packaging for HWJ and SHVP,Selling Rule,Old packaging follows the same existing price.,3,
notice,Price for new packaging for HWJ and SHVP,Selling Rule,New packaging follows the new price.,4,
notice,Customer signature for card payment,Card Payment Rule,Only Merchant copy needs to be signed by the customer.,1,notice_images/customer_signature_for_card_payment/step1_1.jpg
notice,Customer signature for card payment,Comparison,No customer signature is needed for the other copy shown in the comparison.,2,notice_images/customer_signature_for_card_payment/step2_1.jpg
notice,Eating inside the store is strictly prohibited,Warning,Eating inside the store is strictly prohibited.,1,
notice,Eating inside the store is strictly prohibited,Disciplinary Action,Anyone who fails to follow this rule will face disciplinary action.,2,
notice,Emergency Guide – Responding to Danger or Harassment,Safety First,Your safety always comes first if you face a dangerous situation or harassment.,1,
notice,Emergency Guide – Responding to Danger or Harassment,Stay Away,Keep away or stay at a safe distance from any place or situation that feels or looks dangerous.,2,
notice,Emergency Guide – Responding to Danger or Harassment,Stay Away,No task is more important than your safety.,3,
notice,Emergency Guide – Responding to Danger or Harassment,"Call, Don't Text","Immediately call your Team Lead, especially the one who gave you the task.",4,
notice,Emergency Guide – Responding to Danger or Harassment,"Call, Don't Text","If unreachable, call another Team Lead.",5,
notice,Emergency Guide – Responding to Danger or Harassment,"Call, Don't Text","If still unreachable, call the Manager.",6,
notice,Emergency Guide – Responding to Danger or Harassment,"Call, Don't Text",Calling is faster than texting in emergencies and helps protect you and business operations.,7,
notice,Emergency Guide – Responding to Danger or Harassment,Contact Numbers,Bee Leader: 012-808 3256,8,
notice,Emergency Guide – Responding to Danger or Harassment,Contact Numbers,Backend Team Lead: 012-234 0380,9,
notice,Emergency Guide – Responding to Danger or Harassment,Contact Numbers,Manager (Eno): 016-80 80 380,10,
notice,Emergency Guide – Responding to Danger or Harassment,Evidence,"If safe to do so, record what is happening.",11,
notice,Emergency Guide – Responding to Danger or Harassment,Evidence,"Take videos, photos, or notes to help protect yourself and the team.",12,
notice,Emergency Guide – Responding to Danger or Harassment,Reminder,Your life and safety come before work. Always.,13,
notice,Fake Jungle House,Scam Alert,Fake Jungle House is a scam.,1,notice_images/fake_jungle_house/1000093964.jpg
notice,Bee Points: Redeem Only When Needed,Redemption Rule,Please redeem customer Bee Points only when the customer is ready to use them.,1,
notice,Bee Points: Redeem Only When Needed,Warning,Any points redeemed but not used will be considered burned and cannot be reversed.,2,
notice,Bee Green 15,Sales Tactic,Use Bee Green 15 while the customer returns the bottle.,1,notice_images/bee_green_15/image.png
notice,OT Submission Reminder,Submission Rule,OT (Overtime) must be applied on the same day it occurs.,1,
notice,OT Submission Reminder,Submission Rule,Late submissions will not be accepted moving forward.,2,
notice,OT Submission Reminder,Manager Notice,Please inform your Manager before the end of the day if you have worked beyond your scheduled hours.,3,
notice,OT Submission Reminder,Reminder,Help keep the process smooth and fair for everyone.,4,
notice,Do not Block The Chiller,Importance,The chiller is one of the most important lightbox displays and plays a key role in drawing customer attention.,1,
notice,Do not Block The Chiller,Reminder,Please make sure the chiller remains fully visible at all times and is never blocked.,2,notice_images/do_not_block_the_chiller/temp_image_1753088201522.jpg
notice,Place Tissue on Cold drinks,Reminder,All cold drinks are required to at least place a piece of tissue paper to protect our furniture.,1,notice_images/place_tissue_on_cold_drinks/sample_image.jpg
notice,Can not use KB/QB IDs to check customer history,Access Rule,Staff are no longer permitted to use KB/QB (cashier) IDs to check customer history.,1,notice_images/can_not_use_kb_qb_ids_to_check_customer_history/reference_image.jpg
notice,Can not use KB/QB IDs to check customer history,Access Rule,This function has now been enabled for staff IDs to ensure continued access where necessary.,2,
notice,Can not use KB/QB IDs to check customer history,Reason,This change is implemented to prevent misuse of manager-level (KB/QB) access and to maintain proper system accountability.,3,
notice,What is the best answer for client asking how much Honey we are using for our honey Juice?,Suggested Answer,You can show our Muji box and say our recommendation is 30gm honey mixed with 250gm water.,1,
notice,What is the best answer for client asking how much Honey we are using for our honey Juice?,Suggested Answer,"Depending on how sweet the customer prefers, they may adjust accordingly.",2,
notice,What is the best answer for client asking how much Honey we are using for our honey Juice?,Confidential Rule,No need to tell customers the actual recipe for the juices.,3,
notice,Hygiene Compliance Notice – Juice Making (Effective Immediately),Mandatory Practice,All staff must wear gloves and a face mask during any juice preparation process.,1,
notice,Hygiene Compliance Notice – Juice Making (Effective Immediately),Penalty for Non-Compliance,"If any staff is found not wearing gloves or a mask while making juice, the entire store will face a RM200 commission penalty for that month.",2,
notice,Hygiene Compliance Notice – Juice Making (Effective Immediately),Effective Date,This rule is effective immediately from 26 Jun 2025.,3,
notice,Cashless,Cash Rule,Only King Bee and Bee Leader can decide whether or not to accept cash transactions.,1,
notice,Morning Shift Attendance Responsibility & Penalty Notice,Memo Reference,Refer to the memo PDF titled 'Memo - Morning Shift Attendance Responsibility & Penalty Notice' for the full attendance responsibility and penalty details.,1,notice_images/morning_shift_attendance_responsibility_penalty_notice/reference_image.jpg
sop,New Bee 3rd day Check List,,Learn another 3 type of Honey from the website.,1,
sop,New Bee 3rd day Check List,,Send the name of 3 type of Honey to Eno Wong.,2,
sop,New Bee 3rd day Check List,,Learn the major 3 benefits for each Honey.,3,
sop,New Bee 3rd day Check List,,Learn the origin for each Honey.,4,
sop,New Bee 3rd day Check List,,"Send this message to Eno Wong: Hi Eno, today is my 3rd day on Wanna Bee shift.",5,
sop,New Bee 3rd day Check List,,Study Proper way to stack HDPC.,6,
sop,New Bee 3rd day Check List,,Get yourself level up by study these documents in Doraemon Pocket.,7,sop_images/new_bee_3rd_day_check_list/step7_1.jpg
sop,New Bee 3rd day Check List,,Study the pre-order and product or juice redemption process. Review JHKC Pre-Order SOP.,8,
sop,New Bee 3rd day Check List,,Study the Cashier Payment and Product Verification process. Review Cashier Payment & Product Verification SOP.,9,
sop,New Bee 3rd day Check List,,"On your 10th day, continue with New Bee 10th Day Check List.",10,
sop,New Bee 1st day Check List,,Be early and arrive at least 30 minutes ahead.,1,
sop,New Bee 1st day Check List,,Put on uniform. Refer to Standard Dress code.,2,
sop,New Bee 1st day Check List,,Connect to Jungle House wifi.,3,
sop,New Bee 1st day Check List,,"Open TimeTEC app. Press Clocking, then press Clocking type.",4,sop_images/new_bee_1st_day_check_list/step4_1.jpg
sop,New Bee 1st day Check List,,Choose Clock in.,5,sop_images/new_bee_1st_day_check_list/step4_2.jpg
sop,New Bee 1st day Check List,,Press the Wifi logo.,6,sop_images/new_bee_1st_day_check_list/step4_3.jpg
